Day,Sales,Trading Profit,Operating Expense,Net Profit
11,1853001,1035892,1219086,-179727
12,2161481,445294,1349180,-900097
13,2472825,-309162,1478879,-1784252
14,2874493,-277968,1565497,-1840704
15,3441059,181167,1701924,-1516732
16,4912110,1575546,1831324,-252780
17,7003581,2511363,2007554,503809
18,7345005,2781129,2079956,701173
19,7748179,3084055,2144431,941679
20,8085045,1228454,2450191,-1219682
21,9599973,2676943,2545855,134684
22,9956322,2438401,2651605,-209351
23,11451148,2560911,2835168,-272459
24,12519663,3041738,2994810,47699
25,13519312,3957568,3199836,760814
26,14764074,4701717,3369860,1335710
27,16698893,4641583,3663022,979332
28,17558310,5428833,3776666,1652167
29,17919191,5108116,3932011,1176105
30,18770731,4395590,4179753,215837
31,19591666,5139555,4372126,768456
32,20922118,6398622,4485852,1912770
33,23645179,8698987,4550806,4148181
34,27737291,10910748,4869112,6041636
35,30602329,13274676,5055089,8219587
36,30959483,12304827,5200631,7104196
37,32123283,12692035,5353001,7339034
38,35093202,14198597,5659715,8538882
39,36159227,15191867,5759688,9432179
40,38975196,17018845,6026568,10992277
41,41235585,18127986,6205728,11922258
42,41646071,18455911,6273143,12182768
43,42058158,18792569,6346406,12446163
44,46334050,20170848,6616715,13554133
45,50139819,23635462,6795048,16840414
46,50694736,23803736,6893409,16910327
47,51156846,23472379,7001148,16471231
48,54518785,26293846,7200249,19093597
49,54960093,26668986,7270602,19398384
50,56908899,28551238,7400955,21150283
51,57343674,28923087,7468064,21455023
52,58424337,28411103,7640597,20770506
53,59547642,28696856,7757802,20939054
54,60795381,29420207,7847329,21572878
55,62636950,31195115,7995110,23200005
56,63585673,31368764,8112315,23256449
57,65510723,31230686,8413005,22817681
58,66027678,31681133,8480786,23200347
59,67152369,32283231,8633706,23649525
60,68364975,33427390,8761508,24665882
61,70602207,35169757,8863302,26306455
62,71676335,35805144,8930338,26874806
63,72158817,35750238,9003244,26746994
64,73290844,36845319,9049874,27795445
65,75291574,37402645,9250673,28151972
66,76287999,38328824,9299303,29029521
67,76778848,38702255,9349730,29352525
68,78648779,40501846,9522360,30979486
69,80165981,41948216,9567012,32381204
70,82982441,41351691,9934887,31416804
71,85763462,43727835,9987667,33740168
72,88487515,46044359,10034179,36010180
73,89088028,46170513,10138795,36031718
74,92511251,48480162,10384200,38095962
75,93024346,47934352,10688104,37246248
76,93547571,48383280,10732320,37650960
77,94361459,49124929,10780536,38344393
78,94877041,49601672,10824752,38776920
79,95401005,47347523,11269546,36077977
80,95959750,47832618,11373940,36458678
81,97241991,49033642,11571549,37462093
82,98686460,49429717,11683060,37746657
83,99209817,49303794,11759891,37543903
84,102049737,51789630,11865830,39923800
85,105925976,54320726,12089072,42231654
86,109773152,57515502,12306823,45208679
87,110379832,57996853,12377350,45619503
88,111900753,59437043,12445493,46991550
89,112722066,59929052,12537505,47391547
90,116349738,63106435,12830517,50275918
